tienda_id,cluster_id,formato,hora_apertura,hora_cierre,num_cajas_fisicas,fte_totales
T001,CDMX-Norte,chico,8,22,7,80
T002,Queretaro,mediano,6,23,10,80
T003,Leon,chico,8,22,7,80
T004,MTY,chico,6,23,8,80
T005,MTY,mediano,7,22,11,80
T006,Toluca,mediano,7,21,7,80
T007,CDMX-Norte,grande,6,23,12,80
T008,Leon,mediano,7,23,6,80
T009,CDMX-Centro,mediano,7,21,7,80
T010,CDMX-Norte,mediano,8,23,11,80
T011,Puebla,chico,8,21,13,80
T012,Merida,chico,7,23,7,80
T013,Queretaro,mediano,7,23,8,80
T014,Queretaro,chico,7,22,14,80
T015,Queretaro,mediano,7,23,14,80
T016,Queretaro,mediano,8,21,11,80
T017,Puebla,grande,6,21,10,80
T018,CDMX-Sur,mediano,6,21,9,80
T019,Toluca,mediano,7,22,11,80
T020,MTY,grande,6,23,11,80
T021,Puebla,grande,6,21,8,80
T022,GDL,mediano,6,22,6,80
T023,CDMX-Sur,chico,8,23,7,80
T024,Merida,mediano,8,21,14,80
T025,Queretaro,chico,8,23,9,80
T026,Leon,chico,7,21,10,80
T027,MTY,chico,8,23,10,80
T028,Toluca,grande,6,22,13,80
T029,Puebla,mediano,8,22,6,80
T030,MTY,mediano,7,21,6,80
T031,MTY,grande,8,22,8,80
T032,CDMX-Centro,mediano,6,23,10,80
T033,CDMX-Norte,mediano,7,21,12,80
T034,Puebla,chico,8,23,10,80
T035,Toluca,chico,7,22,9,80
T036,CDMX-Norte,mediano,7,23,14,80
T037,Toluca,mediano,6,22,7,80
T038,Toluca,mediano,7,22,11,80
T039,CDMX-Centro,grande,6,21,10,80
T040,Leon,mediano,6,22,10,80
T041,CDMX-Sur,mediano,8,21,13,80
T042,Queretaro,mediano,7,22,8,80
T043,Queretaro,mediano,7,21,14,80
T044,GDL,chico,7,22,8,80
T045,CDMX-Norte,mediano,8,22,10,80
T046,Merida,chico,6,21,10,80
T047,MTY,mediano,7,23,13,80
T048,Toluca,grande,6,22,9,80
T049,Leon,chico,7,23,8,80
T050,Queretaro,chico,8,21,6,80
