tienda_id,fecha,hora,clientes_estimados
T001,2027-03-14,0,0
T001,2027-03-14,1,0
T001,2027-03-14,2,0
T001,2027-03-14,3,0
T001,2027-03-14,4,0
T001,2027-03-14,5,0
T001,2027-03-14,6,0
T001,2027-03-14,7,0
T001,2027-03-14,8,11
T001,2027-03-14,9,24
T001,2027-03-14,10,69
T001,2027-03-14,11,78
T001,2027-03-14,12,158
T001,2027-03-14,13,266
T001,2027-03-14,14,280
T001,2027-03-14,15,235
T001,2027-03-14,16,298
T001,2027-03-14,17,311
T001,2027-03-14,18,244
T001,2027-03-14,19,279
T001,2027-03-14,20,196
T001,2027-03-14,21,167
T001,2027-03-14,22,0
T001,2027-03-14,23,0
T001,2027-03-15,0,0
T001,2027-03-15,1,0
T001,2027-03-15,2,0
T001,2027-03-15,3,0
T001,2027-03-15,4,0
T001,2027-03-15,5,0
T001,2027-03-15,6,0
T001,2027-03-15,7,0
T001,2027-03-15,8,4
T001,2027-03-15,9,15
T001,2027-03-15,10,35
T001,2027-03-15,11,70
T001,2027-03-15,12,87
T001,2027-03-15,13,101
T001,2027-03-15,14,148
T001,2027-03-15,15,129
T001,2027-03-15,16,125
T001,2027-03-15,17,140
T001,2027-03-15,18,137
T001,2027-03-15,19,95
T001,2027-03-15,20,113
T001,2027-03-15,21,77
T001,2027-03-15,22,0
T001,2027-03-15,23,0
T001,2027-03-16,0,0
T001,2027-03-16,1,0
T001,2027-03-16,2,0
T001,2027-03-16,3,0
T001,2027-03-16,4,0
T001,2027-03-16,5,0
T001,2027-03-16,6,0
T001,2027-03-16,7,0
T001,2027-03-16,8,6
T001,2027-03-16,9,17
T001,2027-03-16,10,34
T001,2027-03-16,11,59
T001,2027-03-16,12,91
T001,2027-03-16,13,134
T001,2027-03-16,14,129
T001,2027-03-16,15,137
T001,2027-03-16,16,130
T001,2027-03-16,17,133
T001,2027-03-16,18,129
T001,2027-03-16,19,115
T001,2027-03-16,20,115
T001,2027-03-16,21,76
T001,2027-03-16,22,0
T001,2027-03-16,23,0
T001,2027-03-17,0,0
T001,2027-03-17,1,0
T001,2027-03-17,2,0
T001,2027-03-17,3,0
T001,2027-03-17,4,0
T001,2027-03-17,5,0
T001,2027-03-17,6,0
T001,2027-03-17,7,0
T001,2027-03-17,8,4
T001,2027-03-17,9,17
T001,2027-03-17,10,34
T001,2027-03-17,11,59
T001,2027-03-17,12,97
T001,2027-03-17,13,134
T001,2027-03-17,14,104
T001,2027-03-17,15,143
T001,2027-03-17,16,113
T001,2027-03-17,17,134
T001,2027-03-17,18,129
T001,2027-03-17,19,133
T001,2027-03-17,20,113
T001,2027-03-17,21,73
T001,2027-03-17,22,0
T001,2027-03-17,23,0
T001,2027-03-18,0,0
T001,2027-03-18,1,0
T001,2027-03-18,2,0
T001,2027-03-18,3,0
T001,2027-03-18,4,0
T001,2027-03-18,5,0
T001,2027-03-18,6,0
T001,2027-03-18,7,0
T001,2027-03-18,8,6
T001,2027-03-18,9,17
T001,2027-03-18,10,32
T001,2027-03-18,11,56
T001,2027-03-18,12,88
T001,2027-03-18,13,139
T001,2027-03-18,14,120
T001,2027-03-18,15,158
T001,2027-03-18,16,130
T001,2027-03-18,17,132
T001,2027-03-18,18,126
T001,2027-03-18,19,158
T001,2027-03-18,20,97
T001,2027-03-18,21,85
T001,2027-03-18,22,0
T001,2027-03-18,23,0
T001,2027-03-19,0,0
T001,2027-03-19,1,0
T001,2027-03-19,2,0
T001,2027-03-19,3,0
T001,2027-03-19,4,0
T001,2027-03-19,5,0
T001,2027-03-19,6,0
T001,2027-03-19,7,0
T001,2027-03-19,8,4
T001,2027-03-19,9,17
T001,2027-03-19,10,41
T001,2027-03-19,11,60
T001,2027-03-19,12,97
T001,2027-03-19,13,106
T001,2027-03-19,14,133
T001,2027-03-19,15,122
T001,2027-03-19,16,127
T001,2027-03-19,17,143
T001,2027-03-19,18,141
T001,2027-03-19,19,175
T001,2027-03-19,20,108
T001,2027-03-19,21,80
T001,2027-03-19,22,0
T001,2027-03-19,23,0
T001,2027-03-20,0,0
T001,2027-03-20,1,0
T001,2027-03-20,2,0
T001,2027-03-20,3,0
T001,2027-03-20,4,0
T001,2027-03-20,5,0
T001,2027-03-20,6,0
T001,2027-03-20,7,0
T001,2027-03-20,8,10
T001,2027-03-20,9,27
T001,2027-03-20,10,53
T001,2027-03-20,11,91
T001,2027-03-20,12,137
T001,2027-03-20,13,217
T001,2027-03-20,14,251
T001,2027-03-20,15,214
T001,2027-03-20,16,221
T001,2027-03-20,17,234
T001,2027-03-20,18,213
T001,2027-03-20,19,192
T001,2027-03-20,20,169
T001,2027-03-20,21,122
T001,2027-03-20,22,0
T001,2027-03-20,23,0
T007,2027-03-14,0,0
T007,2027-03-14,1,0
T007,2027-03-14,2,0
T007,2027-03-14,3,0
T007,2027-03-14,4,0
T007,2027-03-14,5,0
T007,2027-03-14,6,1
T007,2027-03-14,7,11
T007,2027-03-14,8,35
T007,2027-03-14,9,88
T007,2027-03-14,10,178
T007,2027-03-14,11,255
T007,2027-03-14,12,486
T007,2027-03-14,13,644
T007,2027-03-14,14,634
T007,2027-03-14,15,678
T007,2027-03-14,16,690
