tienda_id,fecha,hora,tickets,monto_mxn
T001,2027-03-14,0,0,0.0
T001,2027-03-14,1,0,0.0
T001,2027-03-14,2,0,0.0
T001,2027-03-14,3,0,0.0
T001,2027-03-14,4,0,0.0
T001,2027-03-14,5,0,0.0
T001,2027-03-14,6,0,0.0
T001,2027-03-14,7,0,0.0
T001,2027-03-14,8,7,843.93
T001,2027-03-14,9,17,2090.41
T001,2027-03-14,10,49,6462.76
T001,2027-03-14,11,56,6476.02
T001,2027-03-14,12,115,14846.43
T001,2027-03-14,13,193,24744.96
T001,2027-03-14,14,203,24931.38
T001,2027-03-14,15,171,20055.88
T001,2027-03-14,16,217,27565.82
T001,2027-03-14,17,227,27947.18
T001,2027-03-14,18,178,22766.84
T001,2027-03-14,19,203,25722.79
T001,2027-03-14,20,143,19522.5
T001,2027-03-14,21,120,15057.24
T001,2027-03-14,22,0,0.0
T001,2027-03-14,23,0,0.0
T001,2027-03-15,0,0,0.0
T001,2027-03-15,1,0,0.0
T001,2027-03-15,2,0,0.0
T001,2027-03-15,3,0,0.0
T001,2027-03-15,4,0,0.0
T001,2027-03-15,5,0,0.0
T001,2027-03-15,6,0,0.0
T001,2027-03-15,7,0,0.0
T001,2027-03-15,8,3,347.51
T001,2027-03-15,9,11,1320.06
T001,2027-03-15,10,25,3290.98
T001,2027-03-15,11,50,6308.5
T001,2027-03-15,12,63,7387.8
T001,2027-03-15,13,73,8746.75
T001,2027-03-15,14,108,13858.67
T001,2027-03-15,15,94,12370.27
T001,2027-03-15,16,90,12473.37
T001,2027-03-15,17,101,14617.62
T001,2027-03-15,18,99,12842.24
T001,2027-03-15,19,69,8253.43
T001,2027-03-15,20,83,9340.55
T001,2027-03-15,21,56,7183.08
T001,2027-03-15,22,0,0.0
T001,2027-03-15,23,0,0.0
T001,2027-03-16,0,0,0.0
T001,2027-03-16,1,0,0.0
T001,2027-03-16,2,0,0.0
T001,2027-03-16,3,0,0.0
T001,2027-03-16,4,0,0.0
T001,2027-03-16,5,0,0.0
T001,2027-03-16,6,0,0.0
T001,2027-03-16,7,0,0.0
T001,2027-03-16,8,3,353.46
T001,2027-03-16,9,11,1542.95
T001,2027-03-16,10,24,3032.11
T001,2027-03-16,11,42,5577.36
