tienda_id,fecha,hora,clientes_estimados
T001,2026-09-27,0,0
T001,2026-09-27,1,0
T001,2026-09-27,2,0
T001,2026-09-27,3,0
T001,2026-09-27,4,0
T001,2026-09-27,5,0
T001,2026-09-27,6,0
T001,2026-09-27,7,0
T001,2026-09-27,8,10
T001,2026-09-27,9,15
T001,2026-09-27,10,55
T001,2026-09-27,11,59
T001,2026-09-27,12,116
T001,2026-09-27,13,185
T001,2026-09-27,14,210
T001,2026-09-27,15,193
T001,2026-09-27,16,200
T001,2026-09-27,17,239
T001,2026-09-27,18,190
T001,2026-09-27,19,225
T001,2026-09-27,20,160
T001,2026-09-27,21,116
T001,2026-09-27,22,0
T001,2026-09-27,23,0
T001,2026-09-28,0,0
T001,2026-09-28,1,0
T001,2026-09-28,2,0
T001,2026-09-28,3,0
T001,2026-09-28,4,0
T001,2026-09-28,5,0
T001,2026-09-28,6,0
T001,2026-09-28,7,0
T001,2026-09-28,8,4
T001,2026-09-28,9,15
T001,2026-09-28,10,34
T001,2026-09-28,11,67
T001,2026-09-28,12,90
T001,2026-09-28,13,109
T001,2026-09-28,14,160
T001,2026-09-28,15,139
T001,2026-09-28,16,123
T001,2026-09-28,17,140
T001,2026-09-28,18,136
T001,2026-09-28,19,109
T001,2026-09-28,20,105
T001,2026-09-28,21,90
T001,2026-09-28,22,0
T001,2026-09-28,23,0
T001,2026-09-29,0,0
T001,2026-09-29,1,0
T001,2026-09-29,2,0
T001,2026-09-29,3,0
T001,2026-09-29,4,0
T001,2026-09-29,5,0
T001,2026-09-29,6,0
T001,2026-09-29,7,0
T001,2026-09-29,8,7
T001,2026-09-29,9,15
T001,2026-09-29,10,35
T001,2026-09-29,11,59
T001,2026-09-29,12,90
T001,2026-09-29,13,139
T001,2026-09-29,14,137
T001,2026-09-29,15,143
T001,2026-09-29,16,144
T001,2026-09-29,17,148
T001,2026-09-29,18,150
T001,2026-09-29,19,126
T001,2026-09-29,20,113
T001,2026-09-29,21,74
T001,2026-09-29,22,0
T001,2026-09-29,23,0
T001,2026-09-30,0,0
T001,2026-09-30,1,0
T001,2026-09-30,2,0
T001,2026-09-30,3,0
T001,2026-09-30,4,0
T001,2026-09-30,5,0
T001,2026-09-30,6,0
T001,2026-09-30,7,0
T001,2026-09-30,8,7
T001,2026-09-30,9,24
T001,2026-09-30,10,45
T001,2026-09-30,11,85
T001,2026-09-30,12,133
T001,2026-09-30,13,162
T001,2026-09-30,14,143
T001,2026-09-30,15,183
T001,2026-09-30,16,162
T001,2026-09-30,17,186
T001,2026-09-30,18,182
T001,2026-09-30,19,179
T001,2026-09-30,20,161
T001,2026-09-30,21,108
T001,2026-09-30,22,0
T001,2026-09-30,23,0
T001,2026-10-01,0,0
T001,2026-10-01,1,0
T001,2026-10-01,2,0
T001,2026-10-01,3,0
T001,2026-10-01,4,0
T001,2026-10-01,5,0
T001,2026-10-01,6,0
T001,2026-10-01,7,0
T001,2026-10-01,8,6
T001,2026-10-01,9,17
T001,2026-10-01,10,32
T001,2026-10-01,11,55
T001,2026-10-01,12,91
T001,2026-10-01,13,130
T001,2026-10-01,14,123
T001,2026-10-01,15,151
T001,2026-10-01,16,113
T001,2026-10-01,17,134
T001,2026-10-01,18,125
T001,2026-10-01,19,165
T001,2026-10-01,20,85
T001,2026-10-01,21,92
T001,2026-10-01,22,0
T001,2026-10-01,23,0
T001,2026-10-02,0,0
T001,2026-10-02,1,0
T001,2026-10-02,2,0
T001,2026-10-02,3,0
