empleado_id,fecha,ausente
N051-281,2026-09-25,True
N051-283,2026-09-21,True
N051-283,2026-09-26,True
N051-288,2026-09-25,True
N051-289,2026-09-20,True
N051-290,2026-09-20,True
N051-291,2026-09-20,True
N051-291,2026-09-23,True
N051-291,2026-09-24,True
N051-295,2026-09-25,True
N051-298,2026-09-26,True
N051-300,2026-09-22,True
N051-302,2026-09-24,True
N051-310,2026-09-26,True
N051-311,2026-09-21,True
N051-311,2026-09-23,True
N051-313,2026-09-23,True
N051-313,2026-09-24,True
N051-318,2026-09-24,True
N051-319,2026-09-21,True
N051-322,2026-09-25,True
N051-323,2026-09-21,True
N051-328,2026-09-25,True
N051-329,2026-09-20,True
N051-333,2026-09-25,True
N051-333,2026-09-26,True
N051-335,2026-09-25,True
N051-340,2026-09-25,True
N051-344,2026-09-24,True
N051-350,2026-09-20,True
N051-356,2026-09-21,True
N051-358,2026-09-22,True
N051-283,2026-09-30,True
N051-286,2026-10-03,True
N051-287,2026-09-28,True
N051-291,2026-10-02,True
N051-293,2026-09-29,True
N051-295,2026-10-03,True
N051-296,2026-09-29,True
N051-301,2026-10-03,True
N051-302,2026-09-28,True
N051-303,2026-10-02,True
N051-304,2026-10-03,True
N051-305,2026-10-02,True
N051-309,2026-10-03,True
N051-313,2026-10-01,True
N051-315,2026-10-02,True
N051-317,2026-10-01,True
N051-318,2026-09-30,True
N051-318,2026-10-02,True
N051-321,2026-09-29,True
N051-327,2026-09-27,True
N051-327,2026-09-30,True
N051-329,2026-09-29,True
N051-332,2026-10-02,True
N051-335,2026-09-30,True
N051-348,2026-09-29,True
N051-349,2026-09-29,True
N051-352,2026-10-03,True
N051-356,2026-10-02,True
N051-358,2026-10-02,True
