tienda_id,fecha,hora,clientes_estimados
T051,2026-09-20,0,0
T051,2026-09-20,1,0
T051,2026-09-20,2,0
T051,2026-09-20,3,0
T051,2026-09-20,4,0
T051,2026-09-20,5,0
T051,2026-09-20,6,2
T051,2026-09-20,7,5
T051,2026-09-20,8,15
T051,2026-09-20,9,44
T051,2026-09-20,10,104
T051,2026-09-20,11,184
T051,2026-09-20,12,284
T051,2026-09-20,13,302
T051,2026-09-20,14,313
T051,2026-09-20,15,414
T051,2026-09-20,16,395
T051,2026-09-20,17,400
T051,2026-09-20,18,341
T051,2026-09-20,19,256
T051,2026-09-20,20,314
T051,2026-09-20,21,0
T051,2026-09-20,22,0
T051,2026-09-20,23,0
T051,2026-09-21,0,0
T051,2026-09-21,1,0
T051,2026-09-21,2,0
T051,2026-09-21,3,0
T051,2026-09-21,4,0
T051,2026-09-21,5,0
T051,2026-09-21,6,0
T051,2026-09-21,7,3
T051,2026-09-21,8,13
T051,2026-09-21,9,31
T051,2026-09-21,10,57
T051,2026-09-21,11,104
T051,2026-09-21,12,169
T051,2026-09-21,13,196
T051,2026-09-21,14,282
T051,2026-09-21,15,308
T051,2026-09-21,16,242
T051,2026-09-21,17,237
T051,2026-09-21,18,263
T051,2026-09-21,19,213
T051,2026-09-21,20,185
T051,2026-09-21,21,0
T051,2026-09-21,22,0
T051,2026-09-21,23,0
T051,2026-09-22,0,0
T051,2026-09-22,1,0
T051,2026-09-22,2,0
T051,2026-09-22,3,0
T051,2026-09-22,4,0
T051,2026-09-22,5,0
T051,2026-09-22,6,1
T051,2026-09-22,7,3
T051,2026-09-22,8,11
T051,2026-09-22,9,30
T051,2026-09-22,10,57
T051,2026-09-22,11,139
T051,2026-09-22,12,150
T051,2026-09-22,13,236
T051,2026-09-22,14,254
T051,2026-09-22,15,243
T051,2026-09-22,16,251
T051,2026-09-22,17,231
T051,2026-09-22,18,228
T051,2026-09-22,19,200
T051,2026-09-22,20,167
T051,2026-09-22,21,0
T051,2026-09-22,22,0
T051,2026-09-22,23,0
T051,2026-09-23,0,0
T051,2026-09-23,1,0
T051,2026-09-23,2,0
T051,2026-09-23,3,0
T051,2026-09-23,4,0
T051,2026-09-23,5,0
T051,2026-09-23,6,1
T051,2026-09-23,7,4
T051,2026-09-23,8,11
T051,2026-09-23,9,31
T051,2026-09-23,10,56
T051,2026-09-23,11,126
T051,2026-09-23,12,157
T051,2026-09-23,13,245
T051,2026-09-23,14,262
T051,2026-09-23,15,263
T051,2026-09-23,16,267
T051,2026-09-23,17,225
T051,2026-09-23,18,182
T051,2026-09-23,19,243
T051,2026-09-23,20,166
T051,2026-09-23,21,0
T051,2026-09-23,22,0
T051,2026-09-23,23,0
T051,2026-09-24,0,0
T051,2026-09-24,1,0
T051,2026-09-24,2,0
T051,2026-09-24,3,0
T051,2026-09-24,4,0
T051,2026-09-24,5,0
T051,2026-09-24,6,0
T051,2026-09-24,7,3
T051,2026-09-24,8,11
T051,2026-09-24,9,27
T051,2026-09-24,10,48
T051,2026-09-24,11,99
T051,2026-09-24,12,142
T051,2026-09-24,13,188
T051,2026-09-24,14,241
T051,2026-09-24,15,283
T051,2026-09-24,16,249
T051,2026-09-24,17,246
T051,2026-09-24,18,213
T051,2026-09-24,19,208
T051,2026-09-24,20,163
T051,2026-09-24,21,0
T051,2026-09-24,22,0
T051,2026-09-24,23,0
T051,2026-09-25,0,0
T051,2026-09-25,1,0
T051,2026-09-25,2,0
T051,2026-09-25,3,0
T051,2026-09-25,4,0
T051,2026-09-25,5,0
T051,2026-09-25,6,0
T051,2026-09-25,7,3
T051,2026-09-25,8,11
T051,2026-09-25,9,34
T051,2026-09-25,10,71
T051,2026-09-25,11,113
T051,2026-09-25,12,155
T051,2026-09-25,13,194
T051,2026-09-25,14,230
T051,2026-09-25,15,210
T051,2026-09-25,16,229
T051,2026-09-25,17,213
T051,2026-09-25,18,222
T051,2026-09-25,19,260
T051,2026-09-25,20,219
T051,2026-09-25,21,0
T051,2026-09-25,22,0
T051,2026-09-25,23,0
T051,2026-09-26,0,0
T051,2026-09-26,1,0
T051,2026-09-26,2,0
T051,2026-09-26,3,0
T051,2026-09-26,4,0
T051,2026-09-26,5,0
T051,2026-09-26,6,1
T051,2026-09-26,7,5
T051,2026-09-26,8,19
T051,2026-09-26,9,40
T051,2026-09-26,10,82
T051,2026-09-26,11,179
T051,2026-09-26,12,243
T051,2026-09-26,13,266
T051,2026-09-26,14,409
T051,2026-09-26,15,366
T051,2026-09-26,16,368
T051,2026-09-26,17,387
T051,2026-09-26,18,393
T051,2026-09-26,19,342
T051,2026-09-26,20,318
T051,2026-09-26,21,0
T051,2026-09-26,22,0
T051,2026-09-26,23,0
T051,2026-09-27,0,0
T051,2026-09-27,1,0
T051,2026-09-27,2,0
T051,2026-09-27,3,0
T051,2026-09-27,4,0
T051,2026-09-27,5,0
T051,2026-09-27,6,2
T051,2026-09-27,7,6
T051,2026-09-27,8,16
T051,2026-09-27,9,37
T051,2026-09-27,10,112
T051,2026-09-27,11,175
T051,2026-09-27,12,267
T051,2026-09-27,13,286
T051,2026-09-27,14,297
T051,2026-09-27,15,432
T051,2026-09-27,16,380
T051,2026-09-27,17,368
T051,2026-09-27,18,348
T051,2026-09-27,19,296
T051,2026-09-27,20,301
T051,2026-09-27,21,0
T051,2026-09-27,22,0
T051,2026-09-27,23,0
T051,2026-09-28,0,0
T051,2026-09-28,1,0
T051,2026-09-28,2,0
T051,2026-09-28,3,0
T051,2026-09-28,4,0
T051,2026-09-28,5,0
T051,2026-09-28,6,1
T051,2026-09-28,7,3
T051,2026-09-28,8,13
T051,2026-09-28,9,35
T051,2026-09-28,10,58
T051,2026-09-28,11,106
T051,2026-09-28,12,158
T051,2026-09-28,13,204
T051,2026-09-28,14,270
T051,2026-09-28,15,256
T051,2026-09-28,16,249
T051,2026-09-28,17,225
T051,2026-09-28,18,252
T051,2026-09-28,19,204
T051,2026-09-28,20,166
T051,2026-09-28,21,0
T051,2026-09-28,22,0
T051,2026-09-28,23,0
T051,2026-09-29,0,0
T051,2026-09-29,1,0
T051,2026-09-29,2,0
