tienda_id,fecha,hora,tickets,monto_mxn
T051,2026-09-20,0,0,0.0
T051,2026-09-20,1,0,0.0
T051,2026-09-20,2,0,0.0
T051,2026-09-20,3,0,0.0
T051,2026-09-20,4,0,0.0
T051,2026-09-20,5,0,0.0
T051,2026-09-20,6,1,213.66
T051,2026-09-20,7,3,649.98
T051,2026-09-20,8,11,2581.02
T051,2026-09-20,9,34,7817.09
T051,2026-09-20,10,81,18519.24
T051,2026-09-20,11,144,31613.48
T051,2026-09-20,12,222,50788.62
T051,2026-09-20,13,236,50797.88
T051,2026-09-20,14,245,53781.13
T051,2026-09-20,15,324,75552.28
T051,2026-09-20,16,309,71726.25
T051,2026-09-20,17,313,66194.12
T051,2026-09-20,18,267,56841.15
T051,2026-09-20,19,200,44722.1
T051,2026-09-20,20,246,59432.73
T051,2026-09-20,21,0,0.0
T051,2026-09-20,22,0,0.0
T051,2026-09-20,23,0,0.0
T051,2026-09-21,0,0,0.0
T051,2026-09-21,1,0,0.0
T051,2026-09-21,2,0,0.0
T051,2026-09-21,3,0,0.0
T051,2026-09-21,4,0,0.0
T051,2026-09-21,5,0,0.0
T051,2026-09-21,6,0,0.0
T051,2026-09-21,7,2,462.15
T051,2026-09-21,8,10,2307.74
T051,2026-09-21,9,24,5562.67
T051,2026-09-21,10,44,9031.82
T051,2026-09-21,11,81,18283.78
T051,2026-09-21,12,132,30349.26
T051,2026-09-21,13,153,32273.01
T051,2026-09-21,14,221,49173.33
T051,2026-09-21,15,241,53287.23
T051,2026-09-21,16,189,45905.57
T051,2026-09-21,17,185,45103.42
T051,2026-09-21,18,206,42002.15
T051,2026-09-21,19,166,41522.31
T051,2026-09-21,20,145,30772.53
T051,2026-09-21,21,0,0.0
T051,2026-09-21,22,0,0.0
T051,2026-09-21,23,0,0.0
T051,2026-09-22,0,0,0.0
T051,2026-09-22,1,0,0.0
T051,2026-09-22,2,0,0.0
T051,2026-09-22,3,0,0.0
T051,2026-09-22,4,0,0.0
T051,2026-09-22,5,0,0.0
T051,2026-09-22,6,0,0.0
T051,2026-09-22,7,2,469.18
T051,2026-09-22,8,8,1830.85
T051,2026-09-22,9,23,5302.41
T051,2026-09-22,10,44,9460.5
T051,2026-09-22,11,108,22764.06
T051,2026-09-22,12,117,25282.37
T051,2026-09-22,13,184,39651.66
T051,2026-09-22,14,199,45997.72
T051,2026-09-22,15,190,44318.4
T051,2026-09-22,16,196,43252.63
T051,2026-09-22,17,181,43134.77
T051,2026-09-22,18,178,42296.22
T051,2026-09-22,19,156,35116.9
T051,2026-09-22,20,130,27724.09
T051,2026-09-22,21,0,0.0
T051,2026-09-22,22,0,0.0
T051,2026-09-22,23,0,0.0
T051,2026-09-23,0,0,0.0
T051,2026-09-23,1,0,0.0
T051,2026-09-23,2,0,0.0
T051,2026-09-23,3,0,0.0
T051,2026-09-23,4,0,0.0
T051,2026-09-23,5,0,0.0
T051,2026-09-23,6,0,0.0
T051,2026-09-23,7,3,625.26
T051,2026-09-23,8,8,1824.6
T051,2026-09-23,9,24,5745.79
T051,2026-09-23,10,43,9594.16
T051,2026-09-23,11,98,22418.98
T051,2026-09-23,12,123,24833.86
T051,2026-09-23,13,192,41254.61
T051,2026-09-23,14,205,43144.92
T051,2026-09-23,15,206,41473.7
T051,2026-09-23,16,209,46753.84
T051,2026-09-23,17,176,34753.19
T051,2026-09-23,18,142,29493.23
T051,2026-09-23,19,190,41121.34
T051,2026-09-23,20,130,27710.51
T051,2026-09-23,21,0,0.0
T051,2026-09-23,22,0,0.0
T051,2026-09-23,23,0,0.0
T051,2026-09-24,0,0,0.0
T051,2026-09-24,1,0,0.0
T051,2026-09-24,2,0,0.0
T051,2026-09-24,3,0,0.0
T051,2026-09-24,4,0,0.0
T051,2026-09-24,5,0,0.0
T051,2026-09-24,6,0,0.0
T051,2026-09-24,7,2,437.41
T051,2026-09-24,8,8,1706.48
T051,2026-09-24,9,21,4768.89
T051,2026-09-24,10,37,8190.18
T051,2026-09-24,11,77,16557.09
T051,2026-09-24,12,111,23869.16
T051,2026-09-24,13,147,30714.47
T051,2026-09-24,14,188,43857.87
T051,2026-09-24,15,221,49343.99
T051,2026-09-24,16,195,41497.43
T051,2026-09-24,17,192,44427.43
T051,2026-09-24,18,166,35884.14
T051,2026-09-24,19,163,33702.1
T051,2026-09-24,20,127,29687.24
T051,2026-09-24,21,0,0.0
T051,2026-09-24,22,0,0.0
T051,2026-09-24,23,0,0.0
T051,2026-09-25,0,0,0.0
T051,2026-09-25,1,0,0.0
T051,2026-09-25,2,0,0.0
T051,2026-09-25,3,0,0.0
T051,2026-09-25,4,0,0.0
T051,2026-09-25,5,0,0.0
T051,2026-09-25,6,0,0.0
T051,2026-09-25,7,2,395.1
T051,2026-09-25,8,8,1811.01
T051,2026-09-25,9,26,6344.67
T051,2026-09-25,10,55,13195.94
T051,2026-09-25,11,88,21363.06
T051,2026-09-25,12,121,25538.49
T051,2026-09-25,13,152,35346.83
T051,2026-09-25,14,180,38587.16
T051,2026-09-25,15,164,36882.92
T051,2026-09-25,16,179,37276.1
T051,2026-09-25,17,166,35729.06
T051,2026-09-25,18,174,37389.43
T051,2026-09-25,19,203,47175.93
T051,2026-09-25,20,171,39553.29
T051,2026-09-25,21,0,0.0
T051,2026-09-25,22,0,0.0
T051,2026-09-25,23,0,0.0
T051,2026-09-26,0,0,0.0
T051,2026-09-26,1,0,0.0
T051,2026-09-26,2,0,0.0
T051,2026-09-26,3,0,0.0
T051,2026-09-26,4,0,0.0
T051,2026-09-26,5,0,0.0
T051,2026-09-26,6,0,0.0
T051,2026-09-26,7,3,714.63
T051,2026-09-26,8,14,3051.16
T051,2026-09-26,9,31,6635.66
T051,2026-09-26,10,64,15402.77
T051,2026-09-26,11,140,33105.86
T051,2026-09-26,12,190,42307.98
T051,2026-09-26,13,208,45580.93
T051,2026-09-26,14,320,70698.48
T051,2026-09-26,15,286,64329.35
T051,2026-09-26,16,288,69175.99
T051,2026-09-26,17,303,68811.18
T051,2026-09-26,18,308,70986.37
T051,2026-09-26,19,268,63088.3
T051,2026-09-26,20,249,52139.31
T051,2026-09-26,21,0,0.0
T051,2026-09-26,22,0,0.0
T051,2026-09-26,23,0,0.0
T051,2026-09-27,0,0,0.0
T051,2026-09-27,1,0,0.0
T051,2026-09-27,2,0,0.0
T051,2026-09-27,3,0,0.0
T051,2026-09-27,4,0,0.0
T051,2026-09-27,5,0,0.0
T051,2026-09-27,6,1,213.66
T051,2026-09-27,7,4,866.64
T051,2026-09-27,8,12,2815.66
T051,2026-09-27,9,29,6667.52
T051,2026-09-27,10,87,19891.04
T051,2026-09-27,11,137,30076.72
T051,2026-09-27,12,209,47814.51
T051,2026-09-27,13,224,48214.94
T051,2026-09-27,14,232,50927.43
